Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,900781.750000,900781.750000,837625.562500,869622.250000,869622.250000,655292159999
2018-01-02,867571.875000,979959.875000,838620.000000,950614.250000,950614.250000,1068916782180
2018-01-03,950366.812500,989690.375000,942885.500000,965263.500000,965263.500000,1071365660160
2018-01-04,969689.437500,997818.312500,920925.312500,988911.312500,988911.312500,1380945947770
2018-01-05,981177.125000,1121270.250000,963781.500000,1103810.250000,1103810.250000,1509844138230
2018-01-06,1105874.750000,1121726.375000,1061702.125000,1109984.875000,1109984.875000,1159863646370
2018-01-07,1110004.000000,1113316.000000,1018834.062500,1043526.375000,1043526.375000,1004793804320
2018-01-08,1043437.687500,1047345.250000,901936.562500,962846.250000,962846.250000,1168730218780
2018-01-09,959901.250000,983471.375000,918303.937500,929216.187500,929216.187500,1060658883700
2018-01-10,928776.875000,952601.312500,871924.062500,952601.312500,952601.312500,1177020928580
2018-01-11,952276.875000,955496.062500,835730.500000,853681.312500,853681.312500,1052891485960
2018-01-12,856744.375000,905235.125000,837907.812500,889166.125000,889166.125000,767378509822
2018-01-13,887372.687500,932344.187500,887372.687500,913308.750000,913308.750000,811764951857
2018-01-14,913982.875000,922950.437500,843844.812500,875899.187500,875899.187500,704948733540
2018-01-15,875600.250000,917433.687500,867612.125000,877695.500000,877695.500000,809803299870
2018-01-16,878730.687500,879175.250000,652575.562500,735506.875000,735506.875000,1206831733900
2018-01-17,731704.687500,745990.625000,600618.312500,714727.750000,714727.750000,1202898740270
2018-01-18,715379.312500,773172.187500,698350.375000,732787.125000,732787.125000,959202719477
2018-01-19,729907.000000,765620.312500,713450.250000,740784.312500,740784.312500,685452336168
2018-01-20,743898.687500,836233.437500,743898.687500,823226.937500,823226.937500,753184516464
2018-01-21,822588.750000,823016.375000,720412.937500,740318.375000,740318.375000,634063173304
2018-01-22,742424.437500,763396.500000,654144.000000,698297.875000,698297.875000,673129132443
2018-01-23,699134.687500,725435.750000,645971.000000,692860.500000,692860.500000,615863857920
2018-01-24,695091.750000,732524.187500,677356.250000,723025.812500,723025.812500,632744010443
2018-01-25,726991.187500,748274.125000,702366.062500,715084.500000,715084.500000,563535021619
2018-01-26,714868.562500,740317.000000,665125.812500,710165.937500,710165.937500,619565905521
2018-01-27,710388.437500,738359.187500,698583.437500,727285.312500,727285.312500,482068466781
2018-01-28,729484.812500,765401.875000,729484.812500,749255.062500,749255.062500,530832389269
2018-01-29,747297.125000,754931.875000,710689.687500,718338.125000,718338.125000,451957006120
2018-01-30,718999.375000,719024.875000,639105.250000,643569.187500,643569.187500,550058914613
2018-01-31,643690.187500,660036.125000,622430.562500,649448.687500,649448.687500,510935318600
2018-02-01,650478.000000,654830.687500,560879.625000,586639.437500,586639.437500,637102846658
2018-02-02,584831.687500,584831.687500,499404.187500,566227.687500,566227.687500,816048809535
2018-02-03,567597.937500,604699.687500,529094.500000,588295.250000,588295.250000,465754219931
2018-02-04,588345.875000,598551.875000,514961.843750,530721.875000,530721.875000,453556014716
2018-02-05,530307.000000,536060.750000,432832.937500,446041.468750,446041.468750,595465646676
2018-02-06,452228.718750,504171.968750,388721.656250,497806.812500,497806.812500,898787180546
2018-02-07,497902.468750,546625.250000,464077.250000,489820.937500,489820.937500,589309625600
2018-02-08,490885.250000,549943.750000,490885.250000,531394.750000,531394.750000,600902587332
2018-02-09,531796.562500,562137.312500,507479.656250,562137.312500,562137.312500,436535333212
2018-02-10,561049.937500,586944.875000,533730.500000,554733.062500,554733.062500,500626982870
2018-02-11,554361.812500,554361.812500,510286.968750,523082.281250,523082.281250,393901693276
2018-02-12,523819.625000,577525.062500,523819.625000,573710.687500,573710.687500,402101386460
2018-02-13,573720.250000,575760.875000,543429.187500,552527.375000,552527.375000,366071218974
2018-02-14,552630.875000,610090.812500,552630.875000,608558.312500,608558.312500,506979906748
2018-02-15,608153.875000,653901.375000,600283.625000,649531.312500,649531.312500,579005698999
2018-02-16,647569.875000,662910.437500,630851.687500,657425.750000,657425.750000,468705301954
2018-02-17,655729.812500,715601.500000,651997.500000,713879.875000,713879.875000,556374955867
2018-02-18,714567.250000,729111.125000,663342.250000,677847.625000,677847.625000,561715184926
2018-02-19,677899.000000,724228.875000,675368.000000,721113.250000,721113.250000,491570252348
2018-02-20,721530.812500,775508.750000,721530.812500,739529.937500,739529.937500,643736137677
2018-02-21,737487.187500,740489.750000,679045.625000,692737.937500,692737.937500,609466009192
2018-02-22,690793.937500,718038.250000,646438.375000,650024.875000,650024.875000,522363989285
2018-02-23,645611.437500,680337.375000,631480.875000,666481.125000,666481.125000,500745652069
2018-02-24,665614.187500,685638.875000,617688.937500,634905.625000,634905.625000,447590069964
2018-02-25,633828.375000,642032.312500,608636.750000,625308.062500,625308.062500,369239011788
2018-02-26,625612.125000,678675.250000,615617.125000,671347.500000,671347.500000,471950819942
2018-02-27,673109.000000,705688.312500,663537.437500,696198.687500,696198.687500,452174733415
2018-02-28,693706.187500,722223.187500,677630.125000,677943.125000,677943.125000,452239584870
2018-03-01,677102.000000,720831.000000,674996.062500,714224.250000,714224.250000,477232984905
2018-03-02,715946.062500,729746.562500,707860.500000,722944.187500,722944.187500,496938679116
2018-03-03,723954.937500,751753.937500,717466.500000,749243.375000,749243.375000,436292085350
2018-03-04,749745.500000,750736.625000,726185.062500,750736.625000,750736.625000,396747405849
