Date,Open,High,Low,Close,Adj Close,Volume
2020-08-01,324134.031250,345776.312500,285355.875000,285355.875000,285355.875000,509989219
2020-08-02,285465.875000,306411.312500,258652.578125,297527.718750,297527.718750,438806238
2020-08-03,301536.500000,322226.250000,266246.500000,282186.687500,282186.687500,422258328
2020-08-04,282322.218750,296794.750000,265737.718750,274726.250000,274726.250000,360427495
2020-08-05,274574.375000,314045.031250,270373.218750,307732.093750,307732.093750,580664301
2020-08-06,307732.093750,376534.906250,299031.718750,363542.718750,363542.718750,771522719
2020-08-07,363595.718750,409461.281250,256787.468750,322531.031250,322531.031250,948940978
2020-08-08,320795.125000,359328.281250,300157.031250,332542.375000,332542.375000,812834536
2020-08-09,332841.968750,343232.781250,294756.187500,306644.437500,306644.437500,449814004
2020-08-10,306644.437500,535684.375000,301881.656250,468973.468750,468973.468750,4434983012
2020-08-11,468868.718750,492236.406250,431623.781250,451681.875000,451681.875000,2616673170
2020-08-12,451646.281250,451646.281250,400152.656250,435815.156250,435815.156250,2070846077
2020-08-13,435661.281250,435824.750000,327902.406250,406186.031250,406186.031250,2686771893
2020-08-14,406444.781250,406444.781250,362490.281250,374545.812500,374545.812500,1424246708
2020-08-15,374524.500000,403938.843750,314299.968750,403332.468750,403332.468750,2342312653
2020-08-16,403810.406250,497906.218750,393553.218750,497906.218750,497906.218750,3017608232
2020-08-17,497906.218750,674103.937500,480636.406250,664556.062500,664556.062500,5724902426
2020-08-18,663945.500000,877517.750000,650301.812500,724729.250000,724729.250000,7209314006
2020-08-19,724209.437500,945799.187500,724518.687500,944707.750000,944707.750000,7507901875
2020-08-20,944707.750000,1231862.375000,869635.000000,1148617.875000,1148617.875000,13892788448
2020-08-21,1147952.125000,1151252.250000,896799.000000,928421.750000,928421.750000,7271519354
2020-08-22,928877.687500,1073724.875000,850907.250000,1054592.250000,1054592.250000,5061008437
2020-08-23,1053384.750000,1056040.875000,909470.062500,939204.625000,939204.625000,3266261177
2020-08-24,940208.062500,1077125.625000,920282.750000,1073428.000000,1073428.000000,3909222062
2020-08-25,1074380.375000,1092744.125000,961242.187500,1006339.937500,1006339.937500,4340350116
2020-08-26,1006244.250000,1200134.125000,988600.250000,1158047.750000,1158047.750000,6412729419
2020-08-27,1160729.000000,1173579.000000,1040357.562500,1049118.875000,1049118.875000,4974312495
2020-08-28,1049259.375000,1417991.625000,1049074.250000,1373844.125000,1373844.125000,13767148511
2020-08-29,1378803.750000,2010305.500000,1314636.875000,1995926.000000,1995926.000000,37265105484
2020-08-30,2005941.375000,2828867.000000,1990884.625000,2326047.250000,2326047.250000,68631085362
2020-08-31,2328147.500000,2884592.250000,2203309.500000,2577819.750000,2577819.750000,50238406736
2020-09-01,2577549.250000,2672599.500000,2316245.750000,2348301.250000,2348301.250000,39145872556
2020-09-02,2347589.500000,2391266.000000,1916570.375000,2336882.000000,2336882.000000,34334977898
2020-09-03,2341207.750000,2424690.500000,2064370.125000,2193112.000000,2193112.000000,30558269432
2020-09-04,2187148.250000,2313204.750000,1792766.375000,2022052.875000,2022052.875000,23386295544
2020-09-05,2015129.875000,2100236.500000,1373799.625000,1632071.000000,1632071.000000,31699878435
2020-09-06,1628011.750000,1838562.125000,1450140.500000,1752927.750000,1752927.750000,21610206975
2020-09-07,1759538.500000,1798059.250000,1525574.750000,1686372.625000,1686372.625000,12869253022
2020-09-08,1685444.375000,1720788.500000,1568708.625000,1655818.000000,1655818.000000,11063588818
2020-09-09,1655331.625000,2129209.000000,1596995.750000,2044037.125000,2044037.125000,22528191404
2020-09-10,2042061.375000,2568973.250000,2033246.375000,2504004.750000,2504004.750000,46486137842
2020-09-11,2504066.500000,2801884.250000,2345312.000000,2789647.500000,2789647.500000,32153766869
